"","city.name","species","diameter","height","climate"
"449","Belfast","Acer pseudoplatanus",62,12,"Cfb"
"450","Belfast","Fagus sylvatica",74,22,"Cfb"
"451","Belfast","Acer pseudoplatanus",127,24,"Cfb"
"452","Belfast","Acer pseudoplatanus",55,18,"Cfb"
"453","Belfast","Aesculus hippocastanum",107,20,"Cfb"
"454","Belfast","Fraxinus excelsior",84,25,"Cfb"
"455","Belfast","Fagus sylvatica",74,20,"Cfb"
"456","Belfast","Fagus sylvatica",87,18,"Cfb"
"457","Belfast","Fagus sylvatica",74,21,"Cfb"
"458","Belfast","Fagus sylvatica",81,24,"Cfb"
"459","Belfast","Fagus sylvatica",87,24,"Cfb"
"460","Belfast","Fagus sylvatica",88,15,"Cfb"
"461","Belfast","Quercus robur",50,12,"Cfb"
"462","Belfast","Lodgepole Pine",48,16,"Cfb"
"463","Belfast","Acer pseudoplatanus",53,24,"Cfb"
"464","Belfast","Acer pseudoplatanus",56,23,"Cfb"
"465","Belfast","Acer pseudoplatanus",58,19,"Cfb"
"466","Belfast","Acer pseudoplatanus",60,20,"Cfb"
"467","Belfast","Acer pseudoplatanus",155,25,"Cfb"
"468","Belfast","Quercus robur",97,27,"Cfb"
"469","Belfast","Quercus robur",101,25,"Cfb"
"470","Belfast","Quercus robur",87,26,"Cfb"
"471","Belfast","Fagus sylvatica",71,18,"Cfb"
"472","Belfast","Fagus sylvatica",55,18,"Cfb"
"473","Belfast","Fagus sylvatica",68,18,"Cfb"
"474","Belfast","Fagus sylvatica",59,18,"Cfb"
"475","Belfast","Acer pseudoplatanus",71,24,"Cfb"
"476","Belfast","Acer pseudoplatanus",79,19,"Cfb"
"477","Belfast","Aesculus hippocastanum",85,15,"Cfb"
"478","Belfast","Quercus robur",113,14,"Cfb"
"479","Belfast","Aesculus hippocastanum",43,13,"Cfb"
